Company Name,Ticker
29METALS LIMITED,29M
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG
ALTERNATIVE INVESTMENT TRUST,AIQ
ALVO MINERALS LIMITED,ALV
ANDEAN SILVER LIMITED,ASL
ARDIDEN LTD,ADV
ASSETOWL LIMITED,AO1
ATHENA RESOURCES LIMITED,AHN
AUB GROUP LIMITED,AUB
AURIS MINERALS LIMITED,AUR
AUSSIE BROADBAND LIMITED,ABB
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL
AUSTRALIAN POTASH LIMITED,APC
AUSTRALIS OIL & GAS LIMITED,ATS
BARTON GOLD HOLDINGS LIMITED,BGD
BIG RIVER INDUSTRIES LIMITED,BRI
BLOCK INC.,SQ2
BOADICEA RESOURCES LIMITED,BOA
BOTANIX PHARMACEUTICALS LTD,BOT
BULLETIN RESOURCES LIMITED,BNR
CAPRICORN METALS LTD,CMM
CASPIN RESOURCES LIMITED,CPN
CAVALIER RESOURCES LIMITED,CVR
CELSIUS RESOURCES LIMITED.,CLA
CHARGER METALS NL,CHR
CHRYSOS CORPORATION LIMITED,C79
COBALT BLUE HOLDINGS LIMITED,COB
CONNECTED IO LIMITED,CIO
COPPERMOLY LIMITED,COY
CSL LIMITED,CSL
CULPEO MINERALS LIMITED,CPO
CURVEBEAM AI LIMITED,CVB
DEVELOP GLOBAL LIMITED,DVP
DONACO INTERNATIONAL LIMITED,DNA
DOTZ NANO LIMITED,DTZ
DUSK GROUP LIMITED,DSK
E&P FINANCIAL GROUP LIMITED,EP1
ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,EOS
EMERALD RESOURCES NL,EMR
EMYRIA LIMITED,EMD
EUREKA GROUP HOLDINGS LIMITED,EGH
FLEETWOOD LIMITED,FWD
FUTURE METALS NL,FME
G50 CORP LIMITED,G50
GALE PACIFIC LIMITED,GAP
GDI PROPERTY GROUP,GDI
GLOBAL HEALTH LIMITED,GLH
GOLD MOUNTAIN LIMITED,GMN
GOLDEN MILE RESOURCES LTD,G88
GR ENGINEERING SERVICES LIMITED,GNG
GREAT DIRT RESOURCES LTD,GR8
GREAT DIVIDE MINING LTD,GDM
GWA GROUP LIMITED.,GWA
HAMMER METALS LIMITED,HMX
HARVEY NORMAN HOLDINGS LIMITED,HVN
HEXIMA LIMITED.,HXL
HIGH PEAK ROYALTIES LIMITED,HPR
HORSESHOE METALS LIMITED,HOR
HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,HTA
ICENI GOLD LIMITED,ICL
ICETANA LIMITED,ICE
INFINITY LITHIUM CORPORATION LIMITED,INF
INVICTUS ENERGY LTD,IVZ
JUPITER ENERGY LIMITED,JPR
KADDY LIMITED,KDY
KALIUM LAKES LIMITED,KLL
KINATICO LTD,KYP
LARVOTTO RESOURCES LIMITED,LRV
LAWFINANCE LIMITED,LAW
LEGACY MINERALS HOLDINGS LIMITED,LGM
LYNCH GROUP HOLDINGS LIMITED,LGL
MAD PAWS HOLDINGS LIMITED,MPA
MAGNETIC RESOURCES NL,MAU
METALSGROVE MINING LTD,MGA
METCASH LIMITED,MTS
MINREX RESOURCES LIMITED,MRR
MT MALCOLM MINES NL,M2M
MUSTERA PROPERTY GROUP LIMITED,MPX
MYSTATE LIMITED,MYS
NANOVEU LIMITED,NVU
NEURIZER LTD,NRZ
NEWMONT CORPORATION,NEM
NEWS CORPORATION..,NWS
NEXION GROUP LTD,NNG
NIB HOLDINGS LIMITED,NHF
NICK SCALI LIMITED,NCK
NUFARM FINANCE (NZ) LIMITED,NFN
OOH!MEDIA LIMITED,OML
OPENLEARNING LIMITED,OLL
OPTHEA LIMITED,OPT
ORORA LIMITED,ORA
PALADIN ENERGY LTD,PDN
PARADIGM BIOPHARMACEUTICALS LIMITED..,PAR
PATRIOT BATTERY METALS INC.,PMT
PEAK MINERALS LIMITED,PUA
PEPPER SPARKZ TRUST NO.4,PE4
PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED,PET
PINNACLE MINERALS LIMITED,PIM
PODIUM MINERALS LIMITED,POD
POSEIDON NICKEL LIMITED,POS
PRIME FINANCIAL GROUP LIMITED,PFG
PRL GLOBAL LTD,PRG
PROGRESS 2022-2 TRUST,POF
RED HAWK MINING LIMITED,RHK
REGAL ASIAN INVESTMENTS LIMITED,RG8
RESTAURANT BRANDS NEW ZEALAND LIMITED,RBD
SERIES 2017-1 REDS TRUST,RFC
SEVEN WEST MEDIA LIMITED,SWM
SHAPE AUSTRALIA CORPORATION LIMITED,SHA
SILVER MINES LIMITED,SVL
SMARTPAY HOLDINGS LIMITED,SMP
SOLIS MINERALS LTD.,SLM
SOMNOMED LIMITED,SOM
SPARK NEW ZEALAND LIMITED,SPK
SPARTAN RESOURCES LIMITED,SPR
SPIRIT TECHNOLOGY SOLUTIONS LTD,ST1
STRATEGIC ENERGY RESOURCES LIMITED,SER
STREAMPLAY STUDIO LIMITED,SP8
SUMMERSET GROUP HOLDINGS LIMITED,SNZ
SUNCORP GROUP LIMITED,SUN
TERRA METALS LIMITED,TM1
TERRAIN MINERALS LIMITED,TMX
TIGERS REALM COAL LIMITED,TIG
TITANIUM SANDS LIMITED,TSL
TRIBUNE RESOURCES LIMITED,TBR
TRITON BOND TRUST 2020 IN RESPECT OF SERIES 1,TT4
WAM MICROCAP LIMITED,WMI
WAM RESEARCH LIMITED,WAX
WELLNEX LIFE LIMITED,WNX
WESFARMERS LIMITED,WES
WEST AFRICAN RESOURCES LIMITED,WAF
WISETECH GLOBAL LIMITED,WTC
XTC LITHIUM LIMITED,XTC
YANDAL RESOURCES LIMITED,YRL
ACROW LIMITED,ACF
ALKANE RESOURCES LIMITED,ALK
AMAERO INTERNATIONAL LTD,3DA
AMERICAN WEST METALS LIMITED,AW1
AMOTIV LIMITED,AOV
ARIZONA LITHIUM LIMITED,AZL
ASKARI METALS LIMITED,AS2
ASRA MINERALS LIMITED,ASR
ASTRON CORPORATION LIMITED,ATR
ATLAS PEARLS LTD,ATP
ATOMOS LIMITED,AMS
AUDALIA RESOURCES LIMITED,ACP
AUSCANN GROUP HOLDINGS LTD,AC8
AVENIRA LIMITED,AEV
BHAGWAN MARINE LIMITED,BWN
BLUE STAR HELIUM LIMITED,BNL
BPM MINERALS LIMITED,BPM
BUBALUS RESOURCES LIMITED,BUS
BUXTON RESOURCES LIMITED,BUX
CALIDUS RESOURCES LIMITED,CAI
CARNAVALE RESOURCES LIMITED,CAV
CIVMEC LIMITED,CVL
CORONADO GLOBAL RESOURCES INC.,CRN
DALRYMPLE BAY INFRASTRUCTURE LIMITED,DBI
DGL GROUP LIMITED,DGL
EAGLE MOUNTAIN MINING LIMITED,EM2
ELANOR INVESTORS GROUP,ENN
ENERGY ACTION LIMITED,EAX
EQUINOX RESOURCES LIMITED.,EQN
EUMUNDI GROUP LIMITED,EBG
EUROPEAN METALS HOLDINGS LIMITED,EMH
EV RESOURCES LTD,EVR
FIDUCIAN GROUP LIMITED,FID
FIELD SOLUTIONS HOLDINGS LIMITED,FSG
FINDI LIMITED,FND
FIREBRICK PHARMA LIMITED,FRE
FLYNN GOLD LIMITED,FG1
FOS CAPITAL LTD,FOS
GENESIS ENERGY LIMITED,GNE
GLENNON SMALL COMPANIES LIMITED,GC1
GLOBE METALS & MINING LIMITED,GBE
GRANGE RESOURCES LIMITED.,GRR
GREAT SOUTHERN MINING LIMITED,GSN
H&G HIGH CONVICTION LIMITED,HCF
HAMELIN GOLD LIMITED,HMG
HITECH GROUP AUSTRALIA LIMITED,HIT
HYDROCARBON DYNAMICS LIMITED,HCD
IGO LIMITED,IGO
INCENTIAPAY LIMITED,INP
INCITEC PIVOT LIMITED,IPL
INGENIA COMMUNITIES GROUP,INA
